iter	Passed	Remaining
0	5	1083
1	10	1017
2	15	1035
3	20	1028
4	26	1020
5	30	995
6	35	971
7	40	960
8	45	962
9	49	947
10	54	941
11	59	936
12	64	926
13	69	919
14	74	913
15	78	897
16	82	888
17	87	882
18	92	877
19	96	871
20	101	868
21	106	861
22	111	857
23	116	853
24	121	847
25	125	842
26	130	838
27	135	832
28	140	826
29	144	816
30	148	810
31	153	804
32	158	800
33	163	796
34	167	791
35	172	785
36	177	779
37	181	774
38	186	768
39	190	763
40	196	760
41	200	755
42	205	750
43	210	745
44	214	738
45	219	734
46	224	730
47	229	726
48	233	720
49	238	715
50	243	711
51	248	706
52	252	701
53	257	696
54	262	691
55	266	685
56	271	681
57	276	677
58	281	671
59	285	666
60	290	662
61	292	651
62	297	647
63	302	642
64	304	631
65	309	627
66	313	623
67	318	618
68	323	614
69	328	609
70	333	605
71	337	600
72	342	596
73	347	591
74	352	586
75	357	582
76	361	578
77	366	573
78	371	568
79	375	563
80	380	559
81	385	554
82	390	550
83	395	545
84	400	541
85	405	536
86	409	532
87	414	527
88	419	523
89	424	518
90	429	514
91	434	509
92	439	505
93	444	500
94	448	496
95	452	490
96	456	485
97	461	480
98	466	475
99	471	471
100	476	467
101	481	462
102	485	457
103	490	452
104	495	447
105	499	443
106	504	438
107	509	433
108	514	429
109	518	424
110	523	419
111	528	415
112	532	409
113	537	405
114	542	400
115	547	396
116	551	391
117	556	386
118	561	382
119	566	377
120	571	372
121	575	368
122	580	363
123	585	358
124	590	354
125	595	349
126	600	344
127	605	340
128	608	335
129	613	330
130	618	325
131	622	320
132	627	315
133	631	311
134	636	306
135	641	301
136	646	297
137	651	292
138	655	287
139	660	283
140	664	278
141	669	273
142	673	268
143	678	263
144	683	259
145	687	254
146	692	249
147	697	244
148	702	240
149	706	235
150	711	230
151	716	226
152	721	221
153	726	216
154	731	212
155	735	207
156	740	202
157	745	198
158	749	193
159	754	188
160	758	183
161	763	179
162	768	174
163	772	169
164	777	164
165	782	160
166	786	155
167	791	150
168	795	146
169	800	141
170	805	136
171	810	131
172	815	127
173	820	122
174	825	117
175	830	113
176	834	108
177	839	103
178	844	99
179	848	94
180	853	89
181	858	84
182	863	80
183	868	75
184	873	70
185	877	66
186	882	61
187	886	56
188	891	51
189	896	47
190	901	42
191	905	37
192	910	33
193	915	28
194	919	23
195	923	18
196	926	14
197	931	9
198	935	4
199	940	0
